title,openreview_link,authors
Deceptive Fairness Attacks on Graphs via Meta Learning,https://iclr.cc/virtual/2024/poster/18065,"Jian Kang, Yinglong Xia, Ross Maciejewski, Jiebo Luo, Hanghang Tong"
Graph Parsing Networks,https://iclr.cc/virtual/2024/poster/18080,"Yunchong Song, Siyuan Huang, Xinbing Wang, Chenghu Zhou, Zhouhan Lin"
Conformal Inductive Graph Neural Networks,https://iclr.cc/virtual/2024/poster/18084,"Soroush H. Zargarbashi, Aleksandar Bojchevski"
Polynormer: Polynomial-Expressive Graph Transformer in Linear Time,https://iclr.cc/virtual/2024/poster/18086,"Chenhui Deng, Zichao Yue, Zhiru Zhang"
Tractable Probabilistic Graph Representation Learning with Graph-Induced Sum-Product Networks,https://iclr.cc/virtual/2024/poster/18112,"Federico Errica, Mathias Niepert"
Efficient Subgraph GNNs by Learning Effective Selection Policies,https://iclr.cc/virtual/2024/poster/18129,"Beatrice Bevilacqua, Moshe Eliasof, Eli Meirom, Bruno Ribeiro, Haggai Maron"
DyVal: Graph-informed Dynamic Evaluation of Large Language Models,https://iclr.cc/virtual/2024/poster/18134,"Kaijie Zhu, Jiaao Chen, Jindong Wang, Neil Gong, Diyi Yang, Xing Xie"
PRES: Toward Scalable Memory-Based Dynamic Graph Neural Networks,https://iclr.cc/virtual/2024/poster/18136,"Junwei Su, Difan Zou, Chuan Wu"
One For All: Towards Training One Graph Model For All Classification Tasks,https://iclr.cc/virtual/2024/poster/19474,"Hao Liu, Jiarui Feng, Lecheng Kong, Ningyue Liang, Dacheng Tao, Yixin Chen, Muhan Zhang"
GNNBoundary: Towards Explaining Graph Neural Networks through the Lens of Decision Boundaries,https://iclr.cc/virtual/2024/poster/18484,"Xiaoqi Wang, Han Wei Shen"
Neural Snowflakes: Universal Latent Graph Inference via Trainable Latent Geometries,https://iclr.cc/virtual/2024/poster/18249,"Haitz Sáez de Ocáriz Borde, Anastasis Kratsios"
iGraphMix: Input Graph Mixup Method for Node Classification,https://iclr.cc/virtual/2024/poster/18379,"Jongwon Jeong, Hoyeop Lee, Hyui Geon Yoon, Beomyoung Lee, Junhee Heo, Geonsoo Kim, Kim Jin Seon"
A Stochastic Centering Framework for Improving Calibration in Graph Neural Networks,https://iclr.cc/virtual/2024/poster/18402,"Puja Trivedi, Mark Heimann, Rushil Anirudh, Danai Koutra, Jayaraman J. Thiagarajan"
Deep Temporal Graph Clustering,https://iclr.cc/virtual/2024/poster/18498,"Meng Liu, Yue Liu, KE LIANG, Wenxuan Tu, Siwei Wang, sihang zhou, Xinwang Liu"
Interventional Fairness on Partially Known Causal Graphs: A Constrained Optimization Approach,https://iclr.cc/virtual/2024/poster/18609,"Aoqi Zuo, yiqing li, Susan Wei, Mingming Gong"
